p,d_a,mu,q,u,demand_supply_ratio,demand_served
1.0,0.21,0.010296204737775911,1.0,1.0193242690398152,20.395864820901203,0.010296204737775911
1.0,0.22,0.01029620561093135,1.0,1.0193243554822036,21.36709466703237,0.01029620561093135
1.0,0.23,0.010296206490423744,1.0,1.0193244425519505,22.338324334687492,0.010296206490423744
1.0,0.24,0.010296207376272772,1.0,1.0193245302510043,23.30955382202879,0.010296207376272772
1.0,0.25,0.010296208268495284,1.0,1.0193246185810332,24.28078312721773,0.010296208268495284
1.0,0.26,0.010296209167104843,1.0,1.0193247075433793,25.252012248417497,0.010296209167104843
1.0,0.27,0.010296210072111189,1.0,1.0193247971390076,26.223241183795874,0.010296210072111189
1.0,0.28,0.010296210983519703,1.0,1.0193248873684506,27.1944699315285,0.010296210983519703
1.0,0.29,0.01029621190133077,1.0,1.0193249782317462,28.165698489802633,0.01029621190133077
1.0,0.3,0.01029621282553915,1.0,1.0193250697283758,29.13692685682134,0.01029621282553915
1.0,0.31,0.010296213756133245,1.0,1.0193251618571912,30.108155030808224,0.010296213756133245
1.0,0.32,0.010296214693094365,1.0,1.019325254616342,31.079383010012688,0.010296214693094365
1.0,0.33,0.010296215636395918,1.0,1.0193253480031959,32.05061079271579,0.010296215636395918
1.0,0.34,0.01029621658600258,1.0,1.0193254420142555,33.0218383772366,0.01029621658600258
1.0,0.35,0.01029621754186941,1.0,1.0193255366450715,33.99306576193931,0.01029621754186941
1.0,0.36,0.010296218503940944,1.0,1.0193256318901533,34.964292945240786,0.010296218503940944
1.0,0.37,0.010296219472150236,1.0,1.0193257277428733,35.93551992561889,0.010296219472150236
1.0,0.38,0.010296220446417915,1.0,1.0193258241953735,36.90674670162129,0.010296220446417915
1.0,0.39,0.010296221426651181,1.0,1.0193259212384669,37.87797327187499,0.010296221426651181
1.0,0.4,0.01029622241274282,1.0,1.0193260188615392,38.849199635096426,0.01029622241274282
1.0,0.41,0.010296223404570197,1.0,1.0193261170524495,39.82042579010211,0.010296223404570197
1.0,0.42,0.010296224401994285,1.0,1.019326215797434,40.79165173581976,0.010296224401994285
1.0,0.43,0.010296225404858665,1.0,1.019326315081008,41.76287747130013,0.010296225404858665
1.0,0.44,0.01029622641298861,1.0,1.0193264148858725,42.73410299572894,0.01029622641298861
1.0,0.45,0.010296227426190156,1.0,1.0193265151928255,43.70532830843952,0.010296227426190156
1.0,0.46,0.010296228444249248,1.0,1.0193266159806755,44.67655340892556,0.010296228444249248
1.0,0.47,0.01029622946693096,1.0,1.019326717226165,45.64777829685403,0.01029622946693096
1.0,0.48,0.010296230493978752,1.0,1.0193268189038964,46.61900297207843,0.010296230493978752
1.0,0.49,0.010296231525113858,1.0,1.0193269209862719,47.59022743465177,0.010296231525113858
1.0,0.5,0.010296232560034741,1.0,1.0193270234434395,48.56145168483965,0.010296232560034741
1.0,0.51,0.010296233598416676,1.0,1.0193271262432508,49.532675723133,0.010296233598416676
1.0,0.52,0.010296234639911445,1.0,1.019327229351233,50.503899550260485,0.010296234639911445
1.0,0.53,0.01029623568414719,1.0,1.0193273327305719,51.47512316720036,0.01029623568414719
1.0,0.54,0.010296236730728393,1.0,1.019327436342111,52.4463465751917,0.010296236730728393
1.0,0.55,0.01029623777923601,1.0,1.019327540144365,53.41756977574487,0.01029623777923601
1.0,0.56,0.01029623882922779,1.0,1.0193276440935513,54.38879277065095,0.01029623882922779
1.0,0.57,0.01029623988023875,1.0,1.0193277481436362,55.36001556199007,0.01029623988023875
1.0,0.58,0.010296240931781815,1.0,1.0193278522463998,56.33123815213871,0.010296240931781815
1.0,0.59,0.01029624198334868,1.0,1.0193279563515192,57.302460543775254,0.01029624198334868
1.0,0.6,0.010296243034410813,1.0,1.0193280604066706,58.273682739884364,0.010296243034410813
1.0,0.61,0.01029624408442066,1.0,1.0193281643576453,59.24490474375958,0.01029624408442066
1.0,0.62,0.010296245132813023,1.0,1.0193282681484894,60.216126559004195,0.010296245132813023
1.0,0.63,0.010296246179006627,1.0,1.0193283717216561,61.187348189530354,0.010296246179006627
1.0,0.64,0.010296247222405833,1.0,1.0193284750181775,62.1585696395562,0.010296247222405833
1.0,0.65,0.010296248262402524,1.0,1.0193285779778498,63.129790913601106,0.010296248262402524
1.0,0.66,0.010296249298378137,1.0,1.0193286805394355,64.10101201647896,0.010296249298378137
