t,p,D,T,S,U,D_bar,Z_bar,gradient_estimate,delta_hat,upsilon_hat,zeta,state_d_a,state_name,experiment_type,n,cumulative_regret,experimentation
87,25.23155124264927,3735,5014,3354.324910804193,183711.17199288445,0.3735,0.5014,-0.23689688734231573,0.01375359574105331,0.009228058964262112,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5570.206381036046,Local
88,25.17771104098056,4595,4962,3811.548628848693,208957.82031209744,0.4595,0.4962,-0.2543489472308635,0.008424406265920151,0.0068033820060591525,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5573.356631215807,Local
89,25.12055397418711,5286,5010,4112.48706549272,225691.01194256142,0.5286,0.501,-0.13521087653600716,0.015363171585484198,0.011344497832494865,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5576.307252808743,Local
90,25.090507112734663,2331,4204,2227.41085794891,122306.00066156324,0.2331,0.4204,-0.20383118096981967,0.006035979068957736,0.004609570290428817,0.5,0.3,Low ($d_a = 0.3$),local,10000,5579.155551983415,Local
91,25.045709050983053,4613,5008,3835.456816918427,210774.80983932567,0.4613,0.5008,-0.09999638322949989,0.026999049719657928,0.015358262110540817,0.5,0.5,Medium ($d_a = 0.5$),local,10000,5581.854647499254,Local
92,25.023970706802725,2601,4346,2455.8744770795324,135014.2271923399,0.2601,0.4346,-0.24078723421625717,0.0009335930621720433,0.0008938496494104882,0.5,0.3,Low ($d_a = 0.3$),local,10000,5584.482788048785,Local
93,24.972188505896003,3508,4144,3018.9146395576645,166124.2657023701,0.3508,0.4144,-0.17586402027281983,0.012119253783636773,0.008330956897151635,0.5,0.3,Low ($d_a = 0.3$),local,10000,5586.945716142154,Local
94,24.934770629242212,6454,5413,4674.520862163717,257403.56347343753,0.6454,0.5413,0.0853748723872027,0.026997102013230384,0.018476793700668282,0.5,0.7,High ($d_a = 0.7$),local,10000,5589.292599206262,Local
95,24.952744286586885,2674,4128,2486.8173999978458,136892.47333024658,0.2674,0.4128,-0.19543527867708005,0.011934816984070307,0.007605989846239599,0.5,0.3,Low ($d_a = 0.3$),local,10000,5591.694874955326,Local
96,24.91202860352916,1781,4198,1747.318274006947,96256.2190990255,0.1781,0.4198,-0.16553853713732203,0.009550954879486276,0.0062409594795413866,0.5,0.3,Low ($d_a = 0.3$),local,10000,5593.972595744559,Local
